word,x,y,x_mod,y_mod
ice,-6.252748966,-47.64845657,-62.52748966,-476.4845657
far,-2.249090672,-21.24352837,-22.49090672,-212.4352837
reaching,-1.287403226,-18.44019127,-12.87403226,-184.4019127
ways,4.329731941,-13.71891975,43.29731941,-137.1891975
More,-40.38739395,25.89462471,-403.8739395,258.9462471
frequent,24.8669548,-46.44896317,248.669548,-464.4896317
severe,24.86017227,-46.45249557,248.6017227,-464.5249557
temperatures,16.45203972,-34.03482437,164.5203972,-340.3482437
many,-7.461770058,4.446730137,-74.61770058,44.46730137
types,10.32516575,-17.47278023,103.2516575,-174.7278023
disasters,-35.24419785,25.9737072,-352.4419785,259.737072
storms,8.192040443,-34.5446434,81.92040443,-345.446434
waves,12.40829754,-26.30333138,124.0829754,-263.0333138
floods,4.909932137,-41.21915054,49.09932137,-412.1915054
droughts,5.635711193,-41.83047104,56.35711193,-418.3047104
A,-19.65284157,20.94154739,-196.5284157,209.4154739
creates,-4.1040411,-28.28645325,-41.040411,-282.8645325
collect,37.34896851,7.561131954,373.4896851,75.61131954
drop,19.50984955,-41.01483154,195.0984955,-410.1483154
water,31.27613068,-40.82938004,312.7613068,-408.2938004
changing,6.347255707,-23.13144684,63.47255707,-231.3144684
weather,12.45274353,-16.36152458,124.5274353,-163.6152458
patterns,6.564442635,-24.33508492,65.64442635,-243.3508492
way,37.58444595,-21.26937103,375.8444595,-212.6937103
wet,0.523543179,-34.09309006,5.23543179,-340.9309006
areas,9.101733208,-27.96063232,91.01733208,-279.6063232
become,16.4691391,-6.711287022,164.691391,-67.11287022
wetter,2.684480667,-32.02442551,26.84480667,-320.2442551
dry,0.67631489,-34.28779984,6.7631489,-342.8779984
drier,-0.52511102,-29.17535019,-5.2511102,-291.7535019
Extreme,-45.32164764,27.41662598,-453.2164764,274.1662598
events,-21.2274456,-28.51732445,-212.274456,-285.1732445
says,5.447832584,39.85580063,54.47832584,398.5580063
Haq,6.851720333,-16.37308884,68.51720333,-163.7308884
director,-26.95686913,34.55311584,-269.5686913,345.5311584
Clean,-26.85112,-13.81735802,-268.5112,-138.1735802
Power,-26.85871506,-13.81297112,-268.5871506,-138.1297112
Plan,-26.82750511,-13.82217884,-268.2750511,-138.2217884
billion,-5.84574461,-41.69971848,-58.4574461,-416.9971848
expected,17.00545692,-18.47134209,170.0545692,-184.7134209
Oceanic,-36.87588501,20.71132088,-368.7588501,207.1132088
Atmospheric,-36.88364029,20.42241669,-368.8364029,204.2241669
Administration,-36.83441925,20.8113327,-368.3441925,208.113327
disaster,37.63445663,-24.5455246,376.3445663,-245.455246
drought,9.513569832,-40.75066376,95.13569832,-407.5066376
wildfires,-3.789340019,-27.10486603,-37.89340019,-271.0486603
caused,20.10904694,-14.15047455,201.0904694,-141.5047455
For,-22.70789909,13.94198513,-227.0789909,139.4198513
year,-25.76424789,-17.61060715,-257.6424789,-176.1060715
averaged,3.550899982,-35.17320633,35.50899982,-351.7320633
adjusted,-28.29574013,13.71697903,-282.9574013,137.1697903
If,13.08140278,-56.16104507,130.8140278,-561.6104507
zero,35.396492,-0.831177652,353.96492,-8.31177652
see,-26.47210503,1.342298269,-264.7210503,13.42298269
annual,7.86477375,-22.69815254,78.6477375,-226.9815254
cost,-0.607612431,-5.981101513,-6.07612431,-59.81101513
increasing,24.51072311,-14.89968777,245.1072311,-148.9968777
intense,13.26154804,-23.87447548,132.6154804,-238.7447548
moisture,22.4478302,-28.80049133,224.478302,-288.0049133
poses,9.305672646,-25.98074341,93.05672646,-259.8074341
risks,8.47236824,-25.01020622,84.7236824,-250.1020622
public,12.019557,-0.759459972,120.19557,-7.59459972
health,5.250558376,-17.59664726,52.50558376,-175.9664726
safety,5.200315952,-17.15974426,52.00315952,-171.5974426
spells,5.661575317,-37.81808472,56.61575317,-378.1808472
mean,26.19399261,-13.905797,261.9399261,-139.05797
Drought,-44.90003586,25.78367233,-449.0003586,257.8367233
conditions,0.170933306,-29.9447155,1.70933306,-299.447155
access,-5.513522625,-27.31458855,-55.13522625,-273.1458855
clean,0.208649948,-13.2461853,2.08649948,-132.461853
drinking,-5.336976528,-27.77533531,-53.36976528,-277.7533531
fuel,-5.450250149,-14.65487576,-54.50250149,-146.5487576
control,-2.62732482,-19.36639786,-26.2732482,-193.6639786
result,33.38350677,-27.16854858,333.8350677,-271.6854858
extreme,-21.15850258,-28.49928284,-211.5850258,-284.9928284
flooding,10.79406643,-27.3649807,107.9406643,-273.649807
around,14.9458971,-36.16596222,149.458971,-361.6596222
lack,31.9843502,10.09942055,319.843502,100.9942055
leading,-1.181145787,-19.97588158,-11.81145787,-199.7588158
death,5.348936081,-32.36650467,53.48936081,-323.6650467
serious,4.513477802,-27.84374428,45.13477802,-278.4374428
disease,3.754127026,-29.79519081,37.54127026,-297.9519081
At,-33.22982788,30.21922684,-332.2982788,302.1922684
opposite,19.21511078,-6.740358353,192.1511078,-67.40358353
rivers,-2.163789272,-34.91953278,-21.63789272,-349.1953278
lakes,-2.157991886,-34.89236832,-21.57991886,-348.9236832
hazardous,-5.649405003,-27.7527771,-56.49405003,-277.527771
material,-6.25725317,-28.3748703,-62.5725317,-283.748703
mold,-2.709073544,-28.71956444,-27.09073544,-287.1956444
air,0.429970622,-37.50319672,4.29970622,-375.0319672
food,0.637807548,-26.69388008,6.37807548,-266.9388008
borne,3.005749464,-30.43207741,30.05749464,-304.3207741
illnesses,2.811713457,-29.43075943,28.11713457,-294.3075943
Higher,2.769859314,-29.16835594,27.69859314,-291.6835594
scientists,11.42039013,21.53310204,114.2039013,215.3310204
point,19.63103294,17.65017509,196.3103294,176.5017509
change,33.16307831,33.94246674,331.6307831,339.4246674
biggest,9.119451523,52.20631027,91.19451523,522.0631027
threat,1.694275618,-18.20031357,16.94275618,-182.0031357
st,-17.53647804,14.71518517,-175.3647804,147.1518517
century,39.88250351,-42.07013702,398.8250351,-420.7013702
impacts,8.437754631,-8.234028816,84.37754631,-82.34028816
children,1.794337511,-14.18022633,17.94337511,-141.8022633
low,43.2627182,25.67714882,432.627182,256.7714882
communities,1.620993018,-14.6159935,16.20993018,-146.159935
variety,45.7465477,4.291265488,457.465477,42.91265488
direct,23.56290627,-18.75784492,235.6290627,-187.5784492
As,14.30541801,-29.5914402,143.0541801,-295.914402
spike,0.31588015,-41.93642426,3.1588015,-419.3642426
room,30.27326965,-36.70779419,302.7326965,-367.0779419
There,29.9607029,-2.115965843,299.607029,-21.15965843
hot,32.00753021,-12.30748558,320.0753021,-123.0748558
days,-14.39625072,6.404808521,-143.9625072,64.04808521
places,10.30873489,-34.29631042,103.0873489,-342.9631042
used,-19.36808205,-15.54538822,-193.6808205,-155.4538822
They,47.05799866,-35.28824997,470.5799866,-352.8824997
afford,11.98670673,-15.22905922,119.8670673,-152.2905922
two,3.969984531,6.693073273,39.69984531,66.93073273
big,19.91977882,-9.911790848,199.1977882,-99.11790848
deal,8.089375496,-2.483526468,80.89375496,-24.83526468
four,37.29132843,18.05182648,372.9132843,180.5182648
straight,4.294041634,4.421555996,42.94041634,44.21555996
go,4.015521526,4.253759384,40.15521526,42.53759384
even,13.92987347,-4.797312737,139.2987347,-47.97312737
night,1.147409678,13.01374912,11.47409678,130.1374912
leads,-19.38591766,-23.50950813,-193.8591766,-235.0950813
In,-2.931644201,26.36104393,-29.31644201,263.6104393
hundreds,-32.03513718,-26.33645058,-320.3513718,-263.3645058
related,40.18241119,-1.88571918,401.8241119,-18.8571918
deaths,-34.08786774,-32.20962906,-340.8786774,-322.0962906
occur,2.259979963,-43.64751434,22.59979963,-436.4751434
due,18.95111465,-17.70218086,189.5111465,-177.0218086
effects,15.80795574,-14.90037251,158.0795574,-149.0037251
threatening,1.820474982,-28.2733345,18.20474982,-282.733345
diseases,2.503171682,-30.61516953,25.03171682,-306.1516953
Indeed,-9.053303719,-9.274778366,-90.53303719,-92.74778366
Americans,-7.973489761,-11.65579319,-79.73489761,-116.5579319
hurricanes,7.835001469,-36.01934433,78.35001469,-360.1934433
tornadoes,8.334401131,-38.01974106,83.34401131,-380.1974106
combined,-8.572983742,-20.25027657,-85.72983742,-202.5027657
Tell,-1.9686023,38.82424927,-19.686023,388.2424927
President,1.094022751,49.35864639,10.94022751,493.5864639
Trump,4.991948128,42.39448929,49.91948128,423.9448929
demand,0.602138937,-9.656077385,6.02138937,-96.56077385
action,-43.81689453,-9.121472359,-438.1689453,-91.21472359
Take,-1.051904678,23.88217545,-10.51904678,238.8217545
Action,-4.887802124,37.88512039,-48.87802124,378.8512039
worsen,-1.79159534,-29.49287796,-17.9159534,-294.9287796
level,20.14910316,-30.08263779,201.4910316,-300.8263779
ozone,-0.810382903,-31.09366226,-8.10382903,-310.9366226
created,37.10152435,27.76007462,371.0152435,277.6007462
cars,-12.1263237,-14.69317722,-121.263237,-146.9317722
sources,-7.812183857,-20.17892456,-78.12183857,-201.7892456
sunlight,-1.517761946,-32.41850281,-15.17761946,-324.1850281
Ground,-7.733823299,32.42579269,-77.33823299,324.2579269
main,23.3061409,-16.79426575,233.061409,-167.9426575
smog,-3.507768869,-31.53917885,-35.07768869,-315.3917885
things,18.00154686,-25.79044724,180.0154686,-257.9044724
get,-8.346954346,-26.02321625,-83.46954346,-260.2321625
linked,18.12527847,-45.09274292,181.2527847,-450.9274292
higher,5.331594467,-26.05798721,53.31594467,-260.5798721
rates,-2.196097374,-53.73794937,-21.96097374,-537.3794937
worsens,-2.566287518,-27.91511154,-25.66287518,-279.1511154
And,29.76884651,14.68392849,297.6884651,146.8392849
significantly,-9.656847954,-38.17267227,-96.56847954,-381.7267227
increase,-3.645657539,-39.94395447,-36.45657539,-399.4395447
airborne,-1.59899652,-28.42717361,-15.9899652,-284.2717361
pollen,-2.458466053,-29.74333954,-24.58466053,-297.4333954
bad,17.79444885,-8.247782707,177.9444885,-82.47782707
news,6.409408092,1.980471969,64.09408092,19.80471969
suffer,8.231982231,-21.11340523,82.31982231,-211.1340523
fever,1.457726479,-30.82621765,14.57726479,-308.2621765
wildlife,7.183625698,-21.13143158,71.83625698,-211.3143158
extinction,4.800149918,-22.3292942,48.00149918,-223.292942
humans,21.71149445,-14.34170628,217.1149445,-143.4170628
challenges,10.15671539,-25.19616699,101.5671539,-251.9616699
certainly,18.46289253,-4.176218987,184.6289253,-41.76218987
rapid,-3.339785814,-46.51003265,-33.39785814,-465.1003265
changes,-5.457010269,-39.24562836,-54.57010269,-392.4562836
disappear,14.96839237,-27.1194706,149.6839237,-271.194706
adapt,10.87264347,-15.82275677,108.7264347,-158.2275677
quickly,13.36592674,-9.917865753,133.6592674,-99.17865753
Some,7.368893147,28.06458282,73.68893147,280.6458282
make,9.251058578,-2.107238293,92.51058578,-21.07238293
Intergovernmental,9.602786064,45.10476685,96.02786064,451.0476685
Panel,9.593464851,45.08285141,95.93464851,450.8285141
assessment,-6.905135155,2.609246016,-69.05135155,26.09246016
freshwater,0.105236143,27.67850304,1.05236143,276.7850304
ocean,36.10294724,-35.71650696,361.0294724,-357.1650696
species,4.1200037,-21.82655907,41.200037,-218.2655907
ranges,4.293660641,-23.8978653,42.93660641,-238.978653
cooler,5.505450249,-25.19575882,55.05450249,-251.9575882
altitudes,5.270863056,-24.37683296,52.70863056,-243.7683296
attempt,-31.51512146,-3.45547533,-315.1512146,-34.5547533
seasonal,-38.27183151,14.14128399,-382.7183151,141.4128399
migration,5.510217667,-24.21815872,55.10217667,-242.1815872
yet,29.8616581,22.68412209,298.616581,226.8412209
still,-20.04809189,-25.88487625,-200.4809189,-258.8487625
increased,8.904488564,-43.2338028,89.04488564,-432.338028
risk,2.026335239,-16.07445335,20.26335239,-160.7445335
study,19.59631538,3.558508396,195.9631538,35.58508396
showed,5.359268188,-21.34422684,53.59268188,-213.4422684
fish,4.512530804,-21.10892487,45.12530804,-211.0892487
birds,4.544729233,-21.09806633,45.44729233,-210.9806633
mammals,4.536304951,-21.09913826,45.36304951,-210.9913826
disappearing,4.909153938,-20.46939468,49.09153938,-204.6939468
times,-28.18447685,-8.194656372,-281.8447685,-81.94656372
faster,11.41871452,-55.29144287,114.1871452,-552.9144287
phenomenon,3.715851068,-17.84271622,37.15851068,-178.4271622
deforestation,-1.431358337,-26.06438637,-14.31358337,-260.6438637
acidic,23.24957085,-33.47113419,232.4957085,-334.7113419
marine,0.615115225,-25.88115692,6.15115225,-258.8115692
ecosystems,1.487963438,-27.85566711,14.87963438,-278.5566711
pressure,-6.087430954,-21.81837273,-60.87430954,-218.1837273
large,25.8393383,-17.5991993,258.393383,-175.991993
